Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
esa-hoodie-v2-style-1,ESA Premium Hoodie Style 1,"Elite Star Athletics premium hoodie, style 1, with bold ESA branding and athletic fit.",Elite Star Athletics,Hoodies,"ESA,Hoodie,Performance,Fleece,Elite Star",TRUE,Size,Youth XS,ESA-HD-V2-01-YouthXSZ,shopify,25,deny,manual,59.99,TRUE,TRUE,https://elitestarathletics.github.io/images/2B911708-01E2-40FB-A14F-F5CECEBC1D89.png,1,active
esa-hoodie-v2-style-1,ESA Premium Hoodie Style 1,"Elite Star Athletics premium hoodie, style 1, with bold ESA branding and athletic fit.",Elite Star Athletics,Hoodies,"ESA,Hoodie,Performance,Fleece,Elite Star",TRUE,Size,Youth S,ESA-HD-V2-01-YouthS,shopify,25,deny,manual,59.99,TRUE,TRUE,,,active
esa-hoodie-v2-style-1,ESA Premium Hoodie Style 1,"Elite Star Athletics premium hoodie, style 1, with bold ESA branding and athletic fit.",Elite Star Athletics,Hoodies,"ESA,Hoodie,Performance,Fleece,Elite Star",TRUE,Size,Youth M,ESA-HD-V2-01-YouthM,shopify,25,deny,manual,59.99,TRUE,TRUE,,,active
esa-hoodie-v2-style-1,ESA Premium Hoodie Style 1,"Elite Star Athletics premium hoodie, style 1, with bold ESA branding and athletic fit.",Elite Star Athletics,Hoodies,"ESA,Hoodie,Performance,Fleece,Elite Star",TRUE,Size,Youth L,ESA-HD-V2-01-YouthL,shopify,25,deny,manual,59.99,TRUE,TRUE,,,active
esa-hoodie-v2-style-1,ESA Premium Hoodie Style 1,"Elite Star Athletics premium hoodie, style 1, with bold ESA branding and athletic fit.",Elite Star Athletics,Hoodies,"ESA,Hoodie,Performance,Fleece,Elite Star",TRUE,Size,Youth XL,ESA-HD-V2-01-YouthXL,shopify,25,deny,manual,59.99,TRUE,TRUE,,,active
esa-hoodie-v2-style-1,ESA Premium Hoodie Style 1,"Elite Star Athletics premium hoodie, style 1, with bold ESA branding and athletic fit.",Elite Star Athletics,Hoodies,"ESA,Hoodie,Performance,Fleece,Elite Star",TRUE,Size,Adult S,ESA-HD-V2-01-AdultS,shopify,25,deny,manual,59.99,TRUE,TRUE,,,active
esa-hoodie-v2-style-1,ESA Premium Hoodie Style 1,"Elite Star Athletics premium hoodie, style 1, with bold ESA branding and athletic fit.",Elite Star Athletics,Hoodies,"ESA,Hoodie,Performance,Fleece,Elite Star",TRUE,Size,Adult M,ESA-HD-V2-01-AdultM,shopify,25,deny,manual,59.99,TRUE,TRUE,,,active
esa-hoodie-v2-style-1,ESA Premium Hoodie Style 1,"Elite Star Athletics premium hoodie, style 1, with bold ESA branding and athletic fit.",Elite Star Athletics,Hoodies,"ESA,Hoodie,Performance,Fleece,Elite Star",TRUE,Size,Adult L,ESA-HD-V2-01-AdultL,shopify,25,deny,manual,59.99,TRUE,TRUE,,,active
esa-hoodie-v2-style-1,ESA Premium Hoodie Style 1,"Elite Star Athletics premium hoodie, style 1, with bold ESA branding and athletic fit.",Elite Star Athletics,Hoodies,"ESA,Hoodie,Performance,Fleece,Elite Star",TRUE,Size,Adult XL,ESA-HD-V2-01-AdultXL,shopify,25,deny,manual,59.99,TRUE,TRUE,,,active
esa-hoodie-v2-style-1,ESA Premium Hoodie Style 1,"Elite Star Athletics premium hoodie, style 1, with bold ESA branding and athletic fit.",Elite Star Athletics,Hoodies,"ESA,Hoodie,Performance,Fleece,Elite Star",TRUE,Size,Adult 2X,ESA-HD-V2-01-Adult2X,shopify,25,deny,manual,59.99,TRUE,TRUE,,,active
