Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
esa-shorts-style-1,ESA Performance Shorts Style 1,"Elite Star Athletics performance shorts, style 1, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Youth XS,ESA-SH-01-YouthXSZ,shopify,20,deny,manual,39.99,TRUE,TRUE,https://elitestarathletics.github.io/images/4edc1f23-0ef1-45f1-8741-09751d379520.png,1,active
esa-shorts-style-1,ESA Performance Shorts Style 1,"Elite Star Athletics performance shorts, style 1, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Youth S,ESA-SH-01-YouthS,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-1,ESA Performance Shorts Style 1,"Elite Star Athletics performance shorts, style 1, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Youth M,ESA-SH-01-YouthM,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-1,ESA Performance Shorts Style 1,"Elite Star Athletics performance shorts, style 1, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Youth L,ESA-SH-01-YouthL,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-1,ESA Performance Shorts Style 1,"Elite Star Athletics performance shorts, style 1, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Youth XL,ESA-SH-01-YouthXL,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-1,ESA Performance Shorts Style 1,"Elite Star Athletics performance shorts, style 1, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Adult S,ESA-SH-01-AdultS,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-1,ESA Performance Shorts Style 1,"Elite Star Athletics performance shorts, style 1, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Adult M,ESA-SH-01-AdultM,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-1,ESA Performance Shorts Style 1,"Elite Star Athletics performance shorts, style 1, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Adult L,ESA-SH-01-AdultL,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-1,ESA Performance Shorts Style 1,"Elite Star Athletics performance shorts, style 1, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Adult XL,ESA-SH-01-AdultXL,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-1,ESA Performance Shorts Style 1,"Elite Star Athletics performance shorts, style 1, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Adult 2X,ESA-SH-01-Adult2X,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-1,ESA Performance Shorts Style 1,"Elite Star Athletics performance shorts, style 1, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Adult 3X,ESA-SH-01-Adult3X,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-1,ESA Performance Shorts Style 1,"Elite Star Athletics performance shorts, style 1, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Adult 4X,ESA-SH-01-Adult4X,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-2,ESA Performance Shorts Style 2,"Elite Star Athletics performance shorts, style 2, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Youth XS,ESA-SH-02-YouthXSZ,shopify,20,deny,manual,39.99,TRUE,TRUE,https://elitestarathletics.github.io/images/99c4919a-dee9-4f1a-a70d-cdc5e9d23f0e.png,1,active
esa-shorts-style-2,ESA Performance Shorts Style 2,"Elite Star Athletics performance shorts, style 2, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Youth S,ESA-SH-02-YouthS,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-2,ESA Performance Shorts Style 2,"Elite Star Athletics performance shorts, style 2, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Youth M,ESA-SH-02-YouthM,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-2,ESA Performance Shorts Style 2,"Elite Star Athletics performance shorts, style 2, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Youth L,ESA-SH-02-YouthL,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-2,ESA Performance Shorts Style 2,"Elite Star Athletics performance shorts, style 2, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Youth XL,ESA-SH-02-YouthXL,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-2,ESA Performance Shorts Style 2,"Elite Star Athletics performance shorts, style 2, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Adult S,ESA-SH-02-AdultS,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-2,ESA Performance Shorts Style 2,"Elite Star Athletics performance shorts, style 2, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Adult M,ESA-SH-02-AdultM,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-2,ESA Performance Shorts Style 2,"Elite Star Athletics performance shorts, style 2, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Adult L,ESA-SH-02-AdultL,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-2,ESA Performance Shorts Style 2,"Elite Star Athletics performance shorts, style 2, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Adult XL,ESA-SH-02-AdultXL,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-2,ESA Performance Shorts Style 2,"Elite Star Athletics performance shorts, style 2, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Adult 2X,ESA-SH-02-Adult2X,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
esa-shorts-style-2,ESA Performance Shorts Style 2,"Elite Star Athletics performance shorts, style 2, with dual-layer compression and motivational text.",Elite Star Athletics,Men's Athletic Shorts,"ESA,Shorts,Performance,Compression,Elite Star",TRUE,Size,Adult 3X,ESA-SH-02-Adult3X,shopify,20,deny,manual,39.99,TRUE,TRUE,,,active
