Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
esa-womens-set-1,ESA Women's Set 1,Elite Star Athletics women's performance activewear set.,Elite Star Athletics,Women's Activewear,"ESA,Women,Fitness,Set,Matching",TRUE,Size,Small,ESA-SET-1-S,shopify,100,deny,manual,49.99,TRUE,TRUE,https://elitestarathletics.github.io/images/07015f85-2099-423b-aae6-b8471007eb43.png,1,active
esa-womens-set-2,ESA Women's Set 2,Elite Star Athletics women's performance activewear set.,Elite Star Athletics,Women's Activewear,"ESA,Women,Fitness,Set,Matching",TRUE,Size,Small,ESA-SET-2-S,shopify,100,deny,manual,49.99,TRUE,TRUE,https://elitestarathletics.github.io/images/09ab3d08-fbf0-4ed4-9be6-87384c352038.png,1,active
esa-womens-set-3,ESA Women's Set 3,Elite Star Athletics women's performance activewear set.,Elite Star Athletics,Women's Activewear,"ESA,Women,Fitness,Set,Matching",TRUE,Size,Small,ESA-SET-3-S,shopify,100,deny,manual,49.99,TRUE,TRUE,https://elitestarathletics.github.io/images/18838206-5bf1-4135-8f52-5fe77710677d.png,1,active
esa-womens-set-4,ESA Women's Set 4,Elite Star Athletics women's performance activewear set.,Elite Star Athletics,Women's Activewear,"ESA,Women,Fitness,Set,Matching",TRUE,Size,Small,ESA-SET-4-S,shopify,100,deny,manual,49.99,TRUE,TRUE,https://elitestarathletics.github.io/images/1a869a44-a34f-4ed7-8f9a-53f47e34d247.png,1,active
esa-womens-set-5,ESA Women's Set 5,Elite Star Athletics women's performance activewear set.,Elite Star Athletics,Women's Activewear,"ESA,Women,Fitness,Set,Matching",TRUE,Size,Small,ESA-SET-5-S,shopify,100,deny,manual,49.99,TRUE,TRUE,https://elitestarathletics.github.io/images/2B911708-01E2-40FB-A14F-F5CECEBC1D89.png,1,active
esa-womens-set-6,ESA Women's Set 6,Elite Star Athletics women's performance activewear set.,Elite Star Athletics,Women's Activewear,"ESA,Women,Fitness,Set,Matching",TRUE,Size,Small,ESA-SET-6-S,shopify,100,deny,manual,49.99,TRUE,TRUE,https://elitestarathletics.github.io/images/3c946aa6-79ac-4b75-a221-45cf04a64256.png,1,active
esa-womens-set-7,ESA Women's Set 7,Elite Star Athletics women's performance activewear set.,Elite Star Athletics,Women's Activewear,"ESA,Women,Fitness,Set,Matching",TRUE,Size,Small,ESA-SET-7-S,shopify,100,deny,manual,49.99,TRUE,TRUE,https://elitestarathletics.github.io/images/425dac4b-5e33-4d91-9edf-6d0b85d37e46.png,1,active
esa-womens-set-8,ESA Women's Set 8,Elite Star Athletics women's performance activewear set.,Elite Star Athletics,Women's Activewear,"ESA,Women,Fitness,Set,Matching",TRUE,Size,Small,ESA-SET-8-S,shopify,100,deny,manual,49.99,TRUE,TRUE,https://elitestarathletics.github.io/images/4ae7b857-9668-4c1c-9495-f1b52cbfd313.png,1,active
esa-womens-set-9,ESA Women's Set 9,Elite Star Athletics women's performance activewear set.,Elite Star Athletics,Women's Activewear,"ESA,Women,Fitness,Set,Matching",TRUE,Size,Small,ESA-SET-9-S,shopify,100,deny,manual,49.99,TRUE,TRUE,https://elitestarathletics.github.io/images/4edc1f23-0ef1-45f1-8741-09751d379520.png,1,active
esa-womens-set-10,ESA Women's Set 10,Elite Star Athletics women's performance activewear set.,Elite Star Athletics,Women's Activewear,"ESA,Women,Fitness,Set,Matching",TRUE,Size,Small,ESA-SET-10-S,shopify,100,deny,manual,49.99,TRUE,TRUE,https://elitestarathletics.github.io/images/55dc644d-1280-4cdc-bd50-3c759da0c53b.png,1,active
