Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
esa-womens-model-1,ESA Women's Fit Set 1,Elite Star Athletics performance fit set in style 1,Elite Star Athletics,Women's Athletic Set,"ESA,Elite Star,Athletics,Fitness,Female",TRUE,Size,Youth XS,ESA-WM-001-YouthXSZ,shopify,15,deny,manual,54.99,TRUE,TRUE,https://elitestarathletics.github.io/images/07015f85-2099-423b-aae6-b8471007eb43.png,1,active
esa-womens-model-1,ESA Women's Fit Set 1,Elite Star Athletics performance fit set in style 1,Elite Star Athletics,Women's Athletic Set,"ESA,Elite Star,Athletics,Fitness,Female",TRUE,Size,Youth S,ESA-WM-001-YouthS,shopify,15,deny,manual,54.99,TRUE,TRUE,,,active
esa-womens-model-1,ESA Women's Fit Set 1,Elite Star Athletics performance fit set in style 1,Elite Star Athletics,Women's Athletic Set,"ESA,Elite Star,Athletics,Fitness,Female",TRUE,Size,Youth M,ESA-WM-001-YouthM,shopify,15,deny,manual,54.99,TRUE,TRUE,,,active
esa-womens-model-1,ESA Women's Fit Set 1,Elite Star Athletics performance fit set in style 1,Elite Star Athletics,Women's Athletic Set,"ESA,Elite Star,Athletics,Fitness,Female",TRUE,Size,Youth L,ESA-WM-001-YouthL,shopify,15,deny,manual,54.99,TRUE,TRUE,,,active
esa-womens-model-1,ESA Women's Fit Set 1,Elite Star Athletics performance fit set in style 1,Elite Star Athletics,Women's Athletic Set,"ESA,Elite Star,Athletics,Fitness,Female",TRUE,Size,Youth XL,ESA-WM-001-YouthXL,shopify,15,deny,manual,54.99,TRUE,TRUE,,,active
esa-womens-model-1,ESA Women's Fit Set 1,Elite Star Athletics performance fit set in style 1,Elite Star Athletics,Women's Athletic Set,"ESA,Elite Star,Athletics,Fitness,Female",TRUE,Size,Adult S,ESA-WM-001-AdultS,shopify,15,deny,manual,54.99,TRUE,TRUE,,,active
esa-womens-model-1,ESA Women's Fit Set 1,Elite Star Athletics performance fit set in style 1,Elite Star Athletics,Women's Athletic Set,"ESA,Elite Star,Athletics,Fitness,Female",TRUE,Size,Adult M,ESA-WM-001-AdultM,shopify,15,deny,manual,54.99,TRUE,TRUE,,,active
esa-womens-model-1,ESA Women's Fit Set 1,Elite Star Athletics performance fit set in style 1,Elite Star Athletics,Women's Athletic Set,"ESA,Elite Star,Athletics,Fitness,Female",TRUE,Size,Adult L,ESA-WM-001-AdultL,shopify,15,deny,manual,54.99,TRUE,TRUE,,,active
esa-womens-model-1,ESA Women's Fit Set 1,Elite Star Athletics performance fit set in style 1,Elite Star Athletics,Women's Athletic Set,"ESA,Elite Star,Athletics,Fitness,Female",TRUE,Size,Adult XL,ESA-WM-001-AdultXL,shopify,15,deny,manual,54.99,TRUE,TRUE,,,active
esa-womens-model-1,ESA Women's Fit Set 1,Elite Star Athletics performance fit set in style 1,Elite Star Athletics,Women's Athletic Set,"ESA,Elite Star,Athletics,Fitness,Female",TRUE,Size,Adult 2X,ESA-WM-001-Adult2X,shopify,15,deny,manual,54.99,TRUE,TRUE,,,active
