Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text
no-rest-just-reps-set-light-blue-yellow,No Rest Just Reps Set - Light Blue & Yellow,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Light Blue & Yellow.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,Youth XS,ESA-NRJRS-LIGHT-BLUE-YELLOW-YouthXS,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-lightblue-yellow.png,1,No Rest Just Reps Set - Light Blue & Yellow
no-rest-just-reps-set-light-blue-yellow,No Rest Just Reps Set - Light Blue & Yellow,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Light Blue & Yellow.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,Youth S,ESA-NRJRS-LIGHT-BLUE-YELLOW-YouthS,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-lightblue-yellow.png,1,No Rest Just Reps Set - Light Blue & Yellow
no-rest-just-reps-set-light-blue-yellow,No Rest Just Reps Set - Light Blue & Yellow,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Light Blue & Yellow.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,Youth M,ESA-NRJRS-LIGHT-BLUE-YELLOW-YouthM,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-lightblue-yellow.png,1,No Rest Just Reps Set - Light Blue & Yellow
no-rest-just-reps-set-light-blue-yellow,No Rest Just Reps Set - Light Blue & Yellow,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Light Blue & Yellow.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,Youth L,ESA-NRJRS-LIGHT-BLUE-YELLOW-YouthL,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-lightblue-yellow.png,1,No Rest Just Reps Set - Light Blue & Yellow
no-rest-just-reps-set-light-blue-yellow,No Rest Just Reps Set - Light Blue & Yellow,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Light Blue & Yellow.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,Youth XL,ESA-NRJRS-LIGHT-BLUE-YELLOW-YouthXL,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-lightblue-yellow.png,1,No Rest Just Reps Set - Light Blue & Yellow
no-rest-just-reps-set-light-blue-yellow,No Rest Just Reps Set - Light Blue & Yellow,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Light Blue & Yellow.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,S,ESA-NRJRS-LIGHT-BLUE-YELLOW-S,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-lightblue-yellow.png,1,No Rest Just Reps Set - Light Blue & Yellow
no-rest-just-reps-set-light-blue-yellow,No Rest Just Reps Set - Light Blue & Yellow,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Light Blue & Yellow.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,M,ESA-NRJRS-LIGHT-BLUE-YELLOW-M,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-lightblue-yellow.png,1,No Rest Just Reps Set - Light Blue & Yellow
no-rest-just-reps-set-light-blue-yellow,No Rest Just Reps Set - Light Blue & Yellow,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Light Blue & Yellow.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,L,ESA-NRJRS-LIGHT-BLUE-YELLOW-L,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-lightblue-yellow.png,1,No Rest Just Reps Set - Light Blue & Yellow
no-rest-just-reps-set-light-blue-yellow,No Rest Just Reps Set - Light Blue & Yellow,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Light Blue & Yellow.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,XL,ESA-NRJRS-LIGHT-BLUE-YELLOW-XL,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-lightblue-yellow.png,1,No Rest Just Reps Set - Light Blue & Yellow
no-rest-just-reps-set-light-blue-yellow,No Rest Just Reps Set - Light Blue & Yellow,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Light Blue & Yellow.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,2XL,ESA-NRJRS-LIGHT-BLUE-YELLOW-2XL,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-lightblue-yellow.png,1,No Rest Just Reps Set - Light Blue & Yellow
